year_month,total_revenue,num_transactions,avg_transaction,unique_customers,revenue_growth,month,quarter,is_q4
2020-01-01,21878.65,97,225.55309278350518,97,,1,1,0
2020-02-01,42934.0,173,248.17341040462426,173,96.23697074545274,2,1,0
2020-03-01,55509.0,239,232.255230125523,239,29.28914147295849,3,1,0
2020-04-01,75856.8,314,241.58216560509555,314,36.65675836350864,4,2,0
2020-05-01,104698.22,409,255.98586797066014,409,38.02087617721812,5,2,0
2020-06-01,118719.53,479,247.8487056367432,479,13.392118796288987,6,2,0
2020-07-01,136785.25,560,244.259375,560,15.217142453309918,7,3,0
2020-08-01,152817.37,639,239.150813771518,639,11.72064970455513,8,3,0
2020-09-01,173125.54,714,242.47274509803924,714,13.289176485631193,9,3,0
2020-10-01,192940.47,784,246.09753826530613,784,11.44541123164149,10,4,1
2020-11-01,204928.68,845,242.51914792899407,845,6.213424275373636,11,4,1
2020-12-01,233216.37,928,251.31074353448275,928,13.80367550310675,12,4,1
2021-01-01,255877.84,1003,255.11250249252242,1003,9.71692939050548,1,1,0
2021-02-01,272235.86,1076,253.00730483271374,1076,6.392902175506876,2,1,0
2021-03-01,294523.39,1148,256.5534756097561,1148,8.186845774101915,3,1,0
2021-04-01,310300.14,1220,254.34437704918034,1220,5.356705285783914,4,2,0
2021-05-01,341703.64,1304,262.04266871165646,1304,10.120362820332595,5,2,0
2021-06-01,355305.03,1365,260.2967252747253,1365,3.98046388970279,6,2,0
2021-07-01,375001.32,1436,261.14298050139274,1436,5.5434875211307855,7,3,0
2021-08-01,392048.98,1507,260.1519442601194,1507,4.5460266646528025,8,3,0
2021-09-01,408268.78,1578,258.7254626108999,1578,4.137187144320609,9,3,0
2021-10-01,434149.35,1651,262.9614476075106,1651,6.339100922681373,10,4,1
2021-11-01,454243.19,1722,263.7881475029036,1722,4.628324331246847,11,4,1
2021-12-01,473586.1,1797,263.5426265998887,1797,4.258271874147401,12,4,1
2022-01-01,490545.01,1857,264.1599407646742,1857,3.5809560289037368,1,1,0
2022-02-01,507189.26,1923,263.7489651586063,1923,3.3930117849940045,2,1,0
2022-03-01,525188.09,1997,262.9885277916875,1997,3.5487403656772942,3,1,0
2022-04-01,540437.13,2063,261.9666165777993,2063,2.903538806449335,4,2,0
2022-05-01,560512.79,2139,262.04431510051427,2139,3.714707758884006,5,2,0
2022-06-01,583187.55,2216,263.17127707581227,2216,4.045359964042916,6,2,0
2022-07-01,606922.53,2301,263.7646805736636,2301,4.069870833147937,7,3,0
2022-08-01,629543.52,2381,264.4029903401932,2381,3.7271626742872765,8,3,0
2022-09-01,648680.44,2457,264.01320309320306,2457,3.0398089078893076,9,3,0
2022-10-01,669862.45,2531,264.663156854998,2531,3.2653998323118882,10,4,1
2022-11-01,686798.44,2602,263.95020753266715,2602,2.5282787533470463,11,4,1
2022-12-01,710072.8,2668,266.14422788605697,2668,3.388819578565161,12,4,1
2023-01-01,726967.77,2742,265.12318380743983,2742,2.379329274406783,1,1,0
2023-02-01,750224.92,2819,266.13157857396243,2819,3.199199601379865,2,1,0
2023-03-01,765663.03,2888,265.11877770083106,2888,2.057797546901008,3,1,0
2023-04-01,786189.51,2948,266.6857225237449,2948,2.680876468594806,4,2,0
2023-05-01,799461.26,3016,265.07336206896554,3016,1.6881107965940778,5,2,0
2023-06-01,819801.91,3084,265.82422503242543,3084,2.544294641619027,6,2,0
2023-07-01,842184.97,3159,266.59859765748655,3159,2.730301030891713,7,3,0
2023-08-01,861231.12,3242,265.6480937692782,3242,2.2615162557460433,8,3,0
2023-09-01,878857.42,3295,266.7245584218513,3295,2.046639930986238,9,3,0
2023-10-01,897699.37,3374,266.0638322465916,3374,2.1439143109242886,10,4,1
2023-11-01,915802.25,3445,265.8351959361393,3445,2.0165860203288366,11,4,1
2023-12-01,941023.75,3519,267.41226200625175,3519,2.754033417148727,12,4,1
2024-01-01,955136.31,3577,267.0216130835896,3577,1.4997028502203191,1,1,0
2024-02-01,967856.84,3636,266.1872497249725,3636,1.331802578000607,2,1,0
2024-03-01,992442.01,3717,267.0008097928437,3717,2.540165960908025,3,1,0
2024-04-01,1003747.63,3776,265.82299523305085,3776,1.1391718494464076,4,2,0
2024-05-01,1031482.82,3848,268.0568659043659,3848,2.7631636848796326,5,2,0
2024-06-01,1055957.0,3916,269.65194075587334,3916,2.3727181418300436,6,2,0
2024-07-01,1075104.1,3988,269.5847793380141,3988,1.813246183319972,7,3,0
2024-08-01,1107552.01,4094,270.5305349291646,4094,3.0181179664369173,8,3,0
2024-09-01,1129363.52,4160,271.4816153846154,4160,1.96934408524978,9,3,0
2024-10-01,1143530.18,4222,270.8503505447655,4222,1.25439327099921,10,4,1
2024-11-01,1166920.78,4282,272.51769733769265,4282,2.0454729056648135,11,4,1
2024-12-01,1180375.56,4348,271.47551977920887,4348,1.1530157171423472,12,4,1
